herb,symptom,indication
U282,C2364082,0
U920,C0022346,0
U142,C0013604,1
U382,C0042963,1
U790,C0010200,1
U872,C0011991,1
U462,C0000737,1
U241,C0270948,0
U612,C0231835,1
U304,C0015644,0
U439,C0010200,1
U953,C0020429,1
U834,C0018681,1
U262,C0042571,1
U439,C0022116,0
U83,C0162298,0
U404,C0036572,0
U496,C0018776,0
U765,C0012833,0
U305,C0020429,1
U625,C0021368,0
U698,C0027498,0
U536,C0003123,0
U901,C0010200,1
U1031,C0231835,0
U30,C0022346,1
U77,C0023530,0
U133,C0011570,0
U929,C0235153,0
U1031,C0010200,1
U769,C0030486,0
U858,C0010200,1
U414,C0018777,0
U177,C0152200,0
U915,C0043094,0
U455,C0010200,1
U911,C0039070,1
U260,C0018681,1
U837,C0032285,1
U826,C0042963,1
U513,C0030193,1
U550,C0020429,0
U576,C0973461,0
U504,C0030193,1
U637,C0008031,1
U382,C0427190,0
U748,C0022346,1
U529,C0009806,1
U657,C0003123,0
U442,C0042571,0
U358,C3714756,0
U37,C0231712,0
U558,C0003126,1
U85,C0231791,0
U1019,C0021368,0
U17,C0018989,0
U204,C0023014,0
U352,C0026826,0
U952,C0032914,0
U45,C0020429,1
U454,C0030193,1
U173,C0010200,1
U91,C0427190,0
U594,C0020429,1
U765,C0000737,1
U386,C0006625,0
U338,C0011991,1
U751,C0162298,0
U872,C0020429,1
U211,C0009806,1
U477,C0151908,0
U511,C0542476,0
U325,C0022346,1
U544,C0010200,1
U684,C0271097,0
U644,C0022346,1
U772,C0851578,1
U141,C0000737,1
U667,C0028754,0
U550,C0018681,1
U242,C0011991,1
U701,C0973461,0
U820,C0231835,1
U648,C3552463,0
U582,C0015967,1
U372,C0022346,1
U26,C0002418,0
U45,C0011991,0
U394,C0015644,0
U64,C0020429,0
U360,C0042571,1
U661,C0234132,0
U375,C0011991,1
U498,C0019214,0
U88,C0015967,1
U453,C0009460,0
U91,C0020429,1
U147,C0013404,1
U243,C2931205,0
U279,C0031154,0
U735,C0032617,0
U625,C0700590,0
U676,C0012833,1
U559,C0030193,1
U815,C0338591,0
U628,C0039070,0
U98,C0018784,0
U533,C0007758,0
U373,C0027066,0
U905,C0029089,0
U162,C0012833,1
U696,C0270948,0
U37,C0010200,1
U560,C0011570,1
U421,C0007758,0
U342,C0020305,0
U146,C0020429,1
U63,C0240735,0
U27,C0018777,0
U58,C0030193,1
U200,C0151786,0
U751,C0023012,0
U247,C0014118,0
U678,C0234376,0
U683,C0042963,1
U747,C0040822,0
U925,C0042963,0
U100,C0001925,0
U758,C0030193,1
U568,C0234144,0
U165,C0221263,0
U95,C0010200,1
U808,C0011570,0
U170,C0271215,0
U452,C0751295,0
U767,C0009806,1
U642,C0240735,0
U443,C0010200,1
U817,C0012833,1
U628,C0018681,1
U224,C0026838,0
U394,C0018681,0
U524,C0012833,1
U624,C0338591,0
U463,C0013604,0
U602,C0013604,1
U670,C0015230,1
U165,C0042963,1
U858,C0018681,1
U849,C0398650,0
U125,C0015967,1
U351,C0009421,1
U476,C0037317,0
U268,C0015672,0
U679,C0018681,1
U170,C0022346,1
U661,C0751265,0
U279,C0162298,0
U505,C0036572,1
U931,C0234144,0
U642,C0030232,0
U926,C0005779,0
U198,C3203358,0
U91,C0040822,0
U101,C0020455,0
U879,C3668816,0
U151,C0009806,1
U100,C0009806,0
U305,C0010200,1
U138,C0033687,0
U346,C0012833,1
U612,C0000737,1
U166,C0001925,0
U734,C0010200,1
U90,C0008031,0
U410,C0040034,0
U313,C0003126,0
U802,C0234133,0
U447,C0009806,1
U849,C0030193,1
